Date,FamilyFriendly,Genre,Commentaires,Titre,URL,Vues,Suivant,Chaine,Abonnes,Id
2022-05-26,true,Science & Technology,75,Erreur d'encodage,https://www.youtube.com/watch?v=AGNKZADLDo4,9298,"['https://www.youtube.com/watch?v=qv1tuSWvM-w', 'https://www.youtube.com/watch?v=98rQ6hLvnZ4', 'https://www.youtube.com/watch?v=UQLRkAvgSCA']",Crypto Monnaie Analyse FR,-1,https://www.youtube.com/watch?v=AGNKZADLDo4
2022-05-27,true,Education,45,Erreur d'encodage,https://www.youtube.com/watch?v=qv1tuSWvM-w,2925,"['https://www.youtube.com/watch?v=C_NsFiLAu34', 'https://www.youtube.com/watch?v=xqGfTuhSWFw', 'https://www.youtube.com/watch?v=FR6jXT_S0VA']",Les Rois du Bitcoin,-1,https://www.youtube.com/watch?v=qv1tuSWvM-w
2022-05-27,true,News & Politics,-1,Forum de Davos : ce qu’ils mijotent vraiment !,https://www.youtube.com/watch?v=98rQ6hLvnZ4,38521,"['https://www.youtube.com/watch?v=GmLaD0Q8kMc', 'https://www.youtube.com/watch?v=v3twwFDn0qg', 'https://www.youtube.com/watch?v=c80ELzCNmec']",FLORIAN PHILIPPOT,-1,https://www.youtube.com/watch?v=98rQ6hLvnZ4
2022-05-27,true,Entertainment,0,"ETHEREUM: UN SAUT DANS LE VIDE, MICROSOFT ET SA BLOCKCHAIN - ACTUALITÉ CRYPTO",https://www.youtube.com/watch?v=UQLRkAvgSCA,62,"['https://www.youtube.com/watch?v=0stmtkXszKo', 'https://www.youtube.com/watch?v=S38bOPPtg_8', 'https://www.youtube.com/watch?v=VFk1yCQqCqk']",Café du Koin,-1,https://www.youtube.com/watch?v=UQLRkAvgSCA
2022-05-27,true,Entertainment,32,Erreur d'encodage,https://www.youtube.com/watch?v=C_NsFiLAu34,7959,"['https://www.youtube.com/watch?v=qv1tuSWvM-w', 'https://www.youtube.com/watch?v=PDZNB_Ko9-I', 'https://www.youtube.com/watch?v=3NzvQhgI1wI']",Crypto Le Trone,-1,https://www.youtube.com/watch?v=C_NsFiLAu34
2022-05-27,true,People & Blogs,41,LE BITCOIN &amp; ETHEREUM VONT VOIR UN GROS MOUVEMENT AUJOURD'HUI [24 Heures...],https://www.youtube.com/watch?v=xqGfTuhSWFw,3375,"['https://www.youtube.com/watch?v=A3_7KeBvdA8', 'https://www.youtube.com/watch?v=f0e-Soo1qFQ', 'https://www.youtube.com/watch?v=xXiXGflLqnk']",Satoshi Stacker FR,-1,https://www.youtube.com/watch?v=xqGfTuhSWFw
2022-05-26,true,Comedy,420,"Sylvain, le serial killer - Les duos impossibles 8ème édition",https://www.youtube.com/watch?v=FR6jXT_S0VA,327843,"['https://www.youtube.com/watch?v=SoZIb_PO-CM', 'https://www.youtube.com/watch?v=gYCmNf9WVAw', 'https://www.youtube.com/watch?v=fdAYnrFOhos']",Les Duos Impossibles de Jérémy Ferrari,-1,https://www.youtube.com/watch?v=FR6jXT_S0VA
2022-05-25,true,News & Politics,-1,Adrien Bocquet «&nbsp;affabulateur&nbsp;» ? Énorme coup de gueule d’André Bercoff contre CheckNews,https://www.youtube.com/watch?v=GmLaD0Q8kMc,136397,"['https://www.youtube.com/watch?v=3dW0DhAWJdE', 'https://www.youtube.com/watch?v=Lo7tUSRpJ1Y', 'https://www.youtube.com/watch?v=gk6NmJV0jlE']",Sud Radio,-1,https://www.youtube.com/watch?v=GmLaD0Q8kMc
2022-05-21,true,Entertainment,-1,"""Cette guerre qui vient"" avec Xavier MOREAU de STRATPOL.",https://www.youtube.com/watch?v=v3twwFDn0qg,228005,"['https://www.youtube.com/watch?v=Lo7tUSRpJ1Y', 'https://www.youtube.com/watch?v=za8jzdao20Y', 'https://www.youtube.com/watch?v=cH-0jS_ofSo']",LE PEUPLE DE FRANCE - TV,-1,https://www.youtube.com/watch?v=v3twwFDn0qg
2022-05-06,true,News & Politics,-1,"Pr Didier Raoult - Covid 19 : ""Une crise de nerfs généralisée et des bénéfices inouïs !""",https://www.youtube.com/watch?v=c80ELzCNmec,657591,"['https://www.youtube.com/watch?v=T7UkIu0SH20', 'https://www.youtube.com/watch?v=n6INZgNijvA', 'https://www.youtube.com/watch?v=94IxSYo5wtM']",Sud Radio,-1,https://www.youtube.com/watch?v=c80ELzCNmec
2022-05-19,true,Science & Technology,25,L' effondrement du stablecoin qui fait trembler l'industrie crypto – Les Contes de Monte-Crypto,https://www.youtube.com/watch?v=0stmtkXszKo,6864,"['https://www.youtube.com/watch?v=SMlrFOcYc40', 'https://www.youtube.com/watch?v=5TJwOCY9UyA', 'https://www.youtube.com/watch?v=v3twwFDn0qg']",Cryptoast,-1,https://www.youtube.com/watch?v=0stmtkXszKo
