Date,FamilyFriendly,Genre,Commentaires,Titre,URL,Vues,Suivant,Profondeur,Chaine,Abonnes
2022-05-30,true,Education,73,Challenge: Je débug n'importe quel problème de mes abonnés,https://www.youtube.com/watch?v=pqZx5IY7cnY,8322,"['https://www.youtube.com/watch?v=V3MV02KDKuo', 'https://www.youtube.com/watch?v=-UADF8Dr3ss', 'https://www.youtube.com/watch?v=A1OKaphGXU4']",0,Benjamin Code,80K subscribers
2022-04-11,true,Science & Technology,120,Tout comprendre au Wi-Fi en 20 minutes,https://www.youtube.com/watch?v=V3MV02KDKuo,10476,"['https://www.youtube.com/watch?v=Ik3dFqaW3J0', 'https://www.youtube.com/watch?v=oX3_5MCJs0A', 'https://www.youtube.com/watch?v=j42Q9j6AS48']",1,LoKan Sardari,36K subscribers
2022-05-22,true,Howto & Style,79,Un CDI de développeur frontend à 148k€/an + vacances illimitées,https://www.youtube.com/watch?v=-UADF8Dr3ss,28995,"['https://www.youtube.com/watch?v=E_WmFU7Ry8A', 'https://www.youtube.com/watch?v=3yTRNyB6E0Q', 'https://www.youtube.com/watch?v=77hwpuVHGps']",1,Benjamin Code,80K subscribers
2020-07-13,true,Education,462,"Mathieu Nebra : Site du Zéro, OpenClassrooms... La Francophonie lui doit beaucoup !",https://www.youtube.com/watch?v=A1OKaphGXU4,108154,"['https://www.youtube.com/watch?v=5QpsnL7_cXw', 'https://www.youtube.com/watch?v=XS7D_0EIcgs', 'https://www.youtube.com/watch?v=aH77WLlx8kI']",1,Benjamin Code,80K subscribers
2022-03-21,true,Science & Technology,146,Erreur d'encodage,https://www.youtube.com/watch?v=Ik3dFqaW3J0,23454,"['https://www.youtube.com/watch?v=V3MV02KDKuo', 'https://www.youtube.com/watch?v=C2qdVMqQ7Cs', 'https://www.youtube.com/watch?v=ZMPhmutHRmE']",2,LoKan Sardari,36K subscribers
2022-01-02,true,Science & Technology,82,YOUTUBE MONEY : COMBIEN AI-JE GAGNÉ EN 2021 ?!,https://www.youtube.com/watch?v=oX3_5MCJs0A,13724,"['https://www.youtube.com/watch?v=ml_z3DZfUQ0', 'https://www.youtube.com/watch?v=2g6ku-tHHjI', 'https://www.youtube.com/watch?v=lmJqeVS8K1U']",2,LoKan Sardari,36K subscribers
2022-04-04,true,Science & Technology,67,Comment le kit tado° m'a permis de diminuer ma facture de chauffage,https://www.youtube.com/watch?v=j42Q9j6AS48,8116,"['https://www.youtube.com/watch?v=V3MV02KDKuo', 'https://www.youtube.com/watch?v=zjIC6jIQRKQ', 'https://www.youtube.com/watch?v=xR7R2MAgfyE']",2,LoKan Sardari,36K subscribers
2020-12-07,true,Education,121,Erreur d'encodage,https://www.youtube.com/watch?v=E_WmFU7Ry8A,26978,"['https://www.youtube.com/watch?v=Gq2-w5t1Cfc', 'https://www.youtube.com/watch?v=YtNjNlGNz74', 'https://www.youtube.com/watch?v=nDG1si2tJ3k']",2,Benjamin Code,80K subscribers
2019-03-03,true,Science & Technology,541,What developer formation should you choose?,https://www.youtube.com/watch?v=3yTRNyB6E0Q,147596,"['https://www.youtube.com/watch?v=xeUOBWPsGXQ', 'https://www.youtube.com/watch?v=ST6Lh87jNTI', 'https://www.youtube.com/watch?v=XJYRhQUjS6I']",2,Benjamin Code,80K subscribers
2021-01-17,true,Education,697,YOU SHOULD NOT USE BOOTSTRAP!,https://www.youtube.com/watch?v=77hwpuVHGps,113618,"['https://www.youtube.com/watch?v=rJtJCa4qx7g', 'https://www.youtube.com/watch?v=XJYRhQUjS6I', 'https://www.youtube.com/watch?v=KNbD0Mlg_9c']",2,Benjamin Code,80K subscribers
2020-09-20,true,Education,137,Aristide Benoist: de débutant à meilleur creative dev en 3 ans,https://www.youtube.com/watch?v=5QpsnL7_cXw,50858,"['https://www.youtube.com/watch?v=Oau-FrvPDOI', 'https://www.youtube.com/watch?v=YtNjNlGNz74', 'https://www.youtube.com/watch?v=A1OKaphGXU4']",2,Benjamin Code,80K subscribers
2022-04-08,true,Music,184,Erreur d'encodage,https://www.youtube.com/watch?v=XS7D_0EIcgs,891649,"['https://www.youtube.com/watch?v=YVSsezaJW10', 'https://www.youtube.com/watch?v=AdzqdAQDqgI', 'https://www.youtube.com/watch?v=19veczw69Tc']",2,alexrainbirdMusic,1.18M subscribers
2022-03-16,true,Science & Technology,937,50.000 personnes contre un champion d'échecs. Qui gagne ?,https://www.youtube.com/watch?v=aH77WLlx8kI,352584,"['https://www.youtube.com/watch?v=5CaVhGTG8eA', 'https://www.youtube.com/watch?v=EsrDF98FsUk', 'https://www.youtube.com/watch?v=Eh7l4Gvx054']",2,Fouloscopie,328K subscribers
2022-04-11,true,Science & Technology,120,Tout comprendre au Wi-Fi en 20 minutes,https://www.youtube.com/watch?v=V3MV02KDKuo,10476,"['https://www.youtube.com/watch?v=j42Q9j6AS48', 'https://www.youtube.com/watch?v=oX3_5MCJs0A', 'https://www.youtube.com/watch?v=bRkpB5Dpbv0']",3,LoKan Sardari,36K subscribers
2022-05-27,true,Science & Technology,85,Erreur d'encodage,https://www.youtube.com/watch?v=C2qdVMqQ7Cs,7139,"['https://www.youtube.com/watch?v=96joLwCO0Dc', 'https://www.youtube.com/watch?v=gJawpBs_FKQ', 'https://www.youtube.com/watch?v=wOYao9OGiuQ']",3,LoKan Sardari,36K subscribers
2021-09-08,true,Science & Technology,109,Erreur d'encodage,https://www.youtube.com/watch?v=ZMPhmutHRmE,15228,"['https://www.youtube.com/watch?v=V3MV02KDKuo', 'https://www.youtube.com/watch?v=Jg-InJRZcrU', 'https://www.youtube.com/watch?v=a82om005TFw']",3,LoKan Sardari,36K subscribers
2021-03-22,true,Science & Technology,152,Erreur d'encodage,https://www.youtube.com/watch?v=ml_z3DZfUQ0,18693,"['https://www.youtube.com/watch?v=V3MV02KDKuo', 'https://www.youtube.com/watch?v=L4dPAZq3fxs', 'https://www.youtube.com/watch?v=8yhaJItm2sM']",3,LoKan Sardari,36K subscribers
2021-10-28,true,Science & Technology,108,Je vous présente MON BUREAU et comment JE TRAVAILLE,https://www.youtube.com/watch?v=2g6ku-tHHjI,19910,"['https://www.youtube.com/watch?v=UGWRVjFPT_8', 'https://www.youtube.com/watch?v=TF-ttZvrKKk', 'https://www.youtube.com/watch?v=LL8wrboBENE']",3,LoKan Sardari,36K subscribers
2021-05-16,true,Howto & Style,283,Comment j’ai réussi à vivre de YouTube avec 10 000 abonnés ?,https://www.youtube.com/watch?v=lmJqeVS8K1U,15876,"['https://www.youtube.com/watch?v=rQ9EzKPzsWk', 'https://www.youtube.com/watch?v=w7tjQCnwvxQ', 'https://www.youtube.com/watch?v=ruFz5VAMaG0']",3,Matthieu Louvet - S'investir,44.9K subscribers
2022-04-11,true,Science & Technology,120,Tout comprendre au Wi-Fi en 20 minutes,https://www.youtube.com/watch?v=V3MV02KDKuo,10476,"['https://www.youtube.com/watch?v=EG2ZIGyGDEI', 'https://www.youtube.com/watch?v=P-z3eAuV1kc', 'https://www.youtube.com/watch?v=96joLwCO0Dc']",3,LoKan Sardari,36K subscribers
2017-07-11,true,Education,Comments are turned off. ,L’Univers (Partie 1/11). Cours « tout public » Aurélien Barrau. Introduction.,https://www.youtube.com/watch?v=zjIC6jIQRKQ,2439971,"['https://www.youtube.com/watch?v=ityDFGkw3dI', 'https://www.youtube.com/watch?v=XO4q9oVrWWw', 'https://www.youtube.com/watch?v=BLYJFIX6mFw']",3,aurelien barrau,218K subscribers
2020-12-21,true,Science & Technology,"1,557",LES ANTIVIRUS GRATUITS VOUS MENTENT ?,https://www.youtube.com/watch?v=xR7R2MAgfyE,555435,"['https://www.youtube.com/watch?v=ckZGQ5cLIfs', 'https://www.youtube.com/watch?v=zKfdjsK7VAI', 'https://www.youtube.com/watch?v=BafmroCsYQ8']",3,Micode • Enquêtes,939K subscribers
