Id,Label,timeset,date,familyfriendly,genre,commentaires,titre,url,vues,suivant,chaine,abonnes,keywords,modularity_class
https://www.youtube.com/watch?v=CIr8QIcpgi8,,,2021-12-19,true,News & Politics,-1,"Philippe De Villiers sur la vaccination : ""On nous ment""",https://www.youtube.com/watch?v=CIr8QIcpgi8,481311,"['https://www.youtube.com/watch?v=HpUVJcKBMb0', 'https://www.youtube.com/watch?v=c80ELzCNmec', 'https://www.youtube.com/watch?v=mwLlt3kob50']",Europe 1,1060000,"actu, actualitÃ©, coronavirus, europ1, europe 1, europe un, europe1, news, radio, radio dâactualitÃ©, radio europe 1, radio news, sonia mabrouk, vaccination, Europe1 radio, vaccin, Covid19, Ã©pidÃ©mie, pandemie, cnews, BFM, BFMTV, RMC, Sud Radio, Valeurs Actuelles, pass sanitaire, confinement, vaccinÃ©s, non-vaccinÃ©s, Le Figaro, TF1, France Info, 3e dose, Doctolib, rÃ©animation, soins intensifs, variant, omicron, conseil de dÃ©fense, hopitaux, Philippe De Villiers, Eric Zemmour, pass vaccinal, Covid-19",16
https://www.youtube.com/watch?v=HpUVJcKBMb0,,,2021-12-15,true,Film & Animation,-1,Antivax - Les marchands de doute | ARTE,https://www.youtube.com/watch?v=HpUVJcKBMb0,893248,"['https://www.youtube.com/watch?v=OiTS0uZa7LU', 'https://www.youtube.com/watch?v=YBDy2kUxOn0', 'https://www.youtube.com/watch?v=43Ia9K2JZco']",ARTE,2440000,"ARTE, Documentaire, TV, Antivax - Les marchands de doute, antivax, les antivax, danger antivax, consÃ©quences antivax, antivax arte, documentaire antivax arte",16
https://www.youtube.com/watch?v=c80ELzCNmec,,,2022-05-06,true,News & Politics,-1,"Pr Didier Raoult - Covid 19 : ""Une crise de nerfs généralisée et des bénéfices inouïs !""",https://www.youtube.com/watch?v=c80ELzCNmec,672433,"['https://www.youtube.com/watch?v=T7UkIu0SH20', 'https://www.youtube.com/watch?v=94IxSYo5wtM', 'https://www.youtube.com/watch?v=wNKwetQ9Df0']",Sud Radio,-1,"Crise sanitaire, SantÃ©, France",6
https://www.youtube.com/watch?v=mwLlt3kob50,,,2021-12-19,true,News & Politics,-1,"Philippe de Villiers : ""Le pass sanitaire, c'est de l'apartheid""",https://www.youtube.com/watch?v=mwLlt3kob50,856750,"['https://www.youtube.com/watch?v=W10_2CFTlds', 'https://www.youtube.com/watch?v=DkKUrZtNlps', 'https://www.youtube.com/watch?v=tGVTyPqzGq4']",Europe 1,1060000,"actu, actualitÃ©, actus, coronavirus, europ1, europe 1, europe un, europe1, news, radio, radio actu, radio europe 1, radio news, sonia mabrouk, vaccination, Europe1 radio, vaccin, Covid19, Ã©pidÃ©mie, pandemie, cnews, BFM, BFMTV, RMC, Sud Radio, Valeurs Actuelles, pass sanitaire, confinement, vaccinÃ©s, non-vaccinÃ©s, Le Figaro, TF1, France Info, 3e dose, Doctolib, rÃ©animation, soins intensifs, variant, omicron, conseil de dÃ©fense, allocution Macron, hopitaux, passvaccinal, De Villiers, Eric Zemmour",0
https://www.youtube.com/watch?v=OiTS0uZa7LU,,,2022-01-06,true,Film & Animation,701,Et si Marx avait raison ? | Capitalisme (4/6) | ARTE,https://www.youtube.com/watch?v=OiTS0uZa7LU,416095,"['https://www.youtube.com/watch?v=NDwjWaMrmlA', 'https://www.youtube.com/watch?v=8gH-5xiM2do', 'https://www.youtube.com/watch?v=r8fyFWxg4GM']",ARTE,2440000,"ARTE, Karl Marx, SÃ©rie documentaire, TV, capital, communisme, crise, Ã©conomie, theorie de marx, capitalisme marx, documentaire capitalisme, capitalisme documentaire arte",16
https://www.youtube.com/watch?v=YBDy2kUxOn0,,,2020-07-29,true,Film & Animation,-1,"Notre ami l'atome, un siècle de radioactivité | ARTE",https://www.youtube.com/watch?v=YBDy2kUxOn0,714449,"['https://www.youtube.com/watch?v=p3YYqxqFrMk', 'https://www.youtube.com/watch?v=_wFbYyDUJfw', 'https://www.youtube.com/watch?v=sr8qq1211XY']",ARTE,2440000,ARTE,16
https://www.youtube.com/watch?v=43Ia9K2JZco,,,2020-08-13,true,Science & Technology,-1,Conférence de l'après-midi - La Terre est plate et immobile - Sylvain CHATY,https://www.youtube.com/watch?v=43Ia9K2JZco,278194,"['https://www.youtube.com/watch?v=RPonxuhgGho', 'https://www.youtube.com/watch?v=cTkZ70SRViU', 'https://www.youtube.com/watch?v=rWuWzXjaID8']",Festival d'Astronomie de Fleurance,-1,"vidÃ©o, partage, tÃ©lÃ©phone-appareil photo, visiophone, gratuit, envoi",4
https://www.youtube.com/watch?v=T7UkIu0SH20,,,2022-05-08,true,Entertainment,-1,Didier Raoult répond à toutes les questions des chroniqueurs dans TPMP !,https://www.youtube.com/watch?v=T7UkIu0SH20,512120,"['https://www.youtube.com/watch?v=aN_hyUtJb4E', 'https://www.youtube.com/watch?v=c80ELzCNmec', 'https://www.youtube.com/watch?v=M_n5cNg8r6Q']",Touche pas à mon poste !,1980000,"Bernard Montiel, Jean-Michel Maire, Raymond, benjamin castaldi, c8, cyril hanouna, geraldine maillet, gilles verdez, isabelle morini-bosc, jean-pascal lacoste, kelly vedovelli, maxime gueny, touche pas a mon poste, tpmp, valerie benaim",6
https://www.youtube.com/watch?v=94IxSYo5wtM,,,2022-05-10,true,Nonprofits & Activism,-1,"Pour une révolution politique, poétique et philosophique avec l'astrophysicien Aurélien Barrau",https://www.youtube.com/watch?v=94IxSYo5wtM,445005,"['https://www.youtube.com/watch?v=J-DVS5az6jg', 'https://www.youtube.com/watch?v=c80ELzCNmec', 'https://www.youtube.com/watch?v=XO4q9oVrWWw']",France Inter,-1,"vidÃ©o, partage, tÃ©lÃ©phone-appareil photo, visiophone, gratuit, envoi",1
https://www.youtube.com/watch?v=wNKwetQ9Df0,,,2022-04-26,true,News & Politics,-1,"Laurent Toubiana : ""Ils ont joué sur la sidération et le mensonge !""",https://www.youtube.com/watch?v=wNKwetQ9Df0,490319,"['https://www.youtube.com/watch?v=7wQDTHRcjew', 'https://www.youtube.com/watch?v=2muwA855M6Y', 'https://www.youtube.com/watch?v=_P2Kjea2YEQ']",Sud Radio,-1,"Bercoff, sud radio",6
