Date,FamilyFriendly,Genre,Commentaires,Titre,URL,Vues,Suivant,Profondeur,Chaine,Abonnes
2022-05-24,true,Education,77,Erreur d'encodage,https://www.youtube.com/watch?v=A3_7KeBvdA8,9107,"['https://www.youtube.com/watch?v=5sl5Ov7sxZc', 'https://www.youtube.com/watch?v=CdbvwuG8ieg', 'https://www.youtube.com/watch?v=J7LHv_Q7Vj4']",3,Les Rois du Bitcoin,19.9K subscribers
2021-07-02,true,Science & Technology,"1,361",La théorie des Cordes,https://www.youtube.com/watch?v=f0e-Soo1qFQ,529807,"['https://www.youtube.com/watch?v=QpppDWL3z-w', 'https://www.youtube.com/watch?v=Xy07QVrE2lY', 'https://www.youtube.com/watch?v=WsPM-vdXmbY']",3,ScienceClic,345K subscribers
2022-05-20,true,People & Blogs,5,30% D'APY SUR CES STABLECOINS - LES STABLES ALGORITHMIQUES EXPLIQUÉS,https://www.youtube.com/watch?v=xXiXGflLqnk,2110,"['https://www.youtube.com/watch?v=-Dshi7BN2WM', 'https://www.youtube.com/watch?v=0stmtkXszKo', 'https://www.youtube.com/watch?v=aNVAv-0AoCc']",3,Satoshi Stacker FR,26.7K subscribers
2022-05-12,true,Comedy,229,Arnaud Tsamere le mentaliste - Les duos impossibles 8ème édition,https://www.youtube.com/watch?v=SoZIb_PO-CM,394189,"['https://www.youtube.com/watch?v=FR6jXT_S0VA', 'https://www.youtube.com/watch?v=aAoMNjD6i08', 'https://www.youtube.com/watch?v=RyduSkEmoco']",3,Les Duos Impossibles de Jérémy Ferrari,197K subscribers
2022-04-14,true,Comedy,"1,296",Le rendez-vous de Paul Mirabel et Camille Cerf - Les duos impossibles 8ème édition,https://www.youtube.com/watch?v=gYCmNf9WVAw,2827161,"['https://www.youtube.com/watch?v=CwfCl-yFETQ', 'https://www.youtube.com/watch?v=-YUDLkrjRbI', 'https://www.youtube.com/watch?v=Prl9V3mRveA']",3,Les Duos Impossibles de Jérémy Ferrari,197K subscribers
2021-05-11,true,Comedy,689,"Guillaume Bats, Jean-Claude Muaka et Jérémy Ferrari : Les frères jumeaux",https://www.youtube.com/watch?v=fdAYnrFOhos,1940267,"['https://www.youtube.com/watch?v=FR6jXT_S0VA', 'https://www.youtube.com/watch?v=UPWeJmdKOs8', 'https://www.youtube.com/watch?v=I-LtYK26iIU']",3,Les Duos Impossibles de Jérémy Ferrari,197K subscribers
2022-05-25,true,People & Blogs,384,La BCE entre en guerre contre la crypto-monnaie ? Pourquoi le système panique ? - Yann Le Floch,https://www.youtube.com/watch?v=3dW0DhAWJdE,58146,"['https://www.youtube.com/watch?v=tGVTyPqzGq4', 'https://www.youtube.com/watch?v=GmLaD0Q8kMc', 'https://www.youtube.com/watch?v=asgHKNE0RXI']",3,Sud Radio,631K subscribers
2022-05-17,true,News & Politics,"1,593","Ovnis, Ummites, armement militaire - Jean-Pierre Petit et Jean-Claude Bourret face à Bercoff",https://www.youtube.com/watch?v=Lo7tUSRpJ1Y,285933,"['https://www.youtube.com/watch?v=tGVTyPqzGq4', 'https://www.youtube.com/watch?v=VanOVShKsCM', 'https://www.youtube.com/watch?v=v3twwFDn0qg']",3,Sud Radio,631K subscribers
2022-05-19,true,Film & Animation,42,"<span dir=""auto"" class=""style-scope yt-formatted-string"">Barbra Streisand, naissance d'une diva | 1942-1984 | Documentaire | </span><a class=""yt-simple-endpoint style-scope yt-formatted-string"" spellcheck=""false"" href=""/channel/UClo03hULFynpoX3w1Jv7fhw"" dir=""auto"">@ARTE Cinema</a>",https://www.youtube.com/watch?v=gk6NmJV0jlE,33480,"['https://www.youtube.com/watch?v=PezTdHfqirU', 'https://www.youtube.com/watch?v=rtcy5CsnYyQ', 'https://www.youtube.com/watch?v=JTIr1VWwlnI']",3,ARTE Cinema,237K subscribers
2022-05-17,true,News & Politics,"1,593","Ovnis, Ummites, armement militaire - Jean-Pierre Petit et Jean-Claude Bourret face à Bercoff",https://www.youtube.com/watch?v=Lo7tUSRpJ1Y,285933,"['https://www.youtube.com/watch?v=tGVTyPqzGq4', 'https://www.youtube.com/watch?v=VanOVShKsCM', 'https://www.youtube.com/watch?v=v3twwFDn0qg']",3,Sud Radio,631K subscribers
2022-05-26,true,News & Politics,802,"Guerre en Ukraine : ""L’OTAN constitue une menace militaire pour les Russes"" (ambassadeur de Chine)",https://www.youtube.com/watch?v=za8jzdao20Y,60635,"['https://www.youtube.com/watch?v=fd68Wx1Z2GE', 'https://www.youtube.com/watch?v=wRhNYldYGt0', 'https://www.youtube.com/watch?v=v3twwFDn0qg']",3,Europe 1,1.05M subscribers
2022-05-26,true,Entertainment,69,26/05/2022 - Réunion Publique de la Farlède,https://www.youtube.com/watch?v=cH-0jS_ofSo,14103,"['https://www.youtube.com/watch?v=zCYkl-X-bo8', 'https://www.youtube.com/watch?v=riLoLnuGYgA', 'https://www.youtube.com/watch?v=v3twwFDn0qg']",3,LE PEUPLE DE FRANCE - TV,10.6K subscribers
2022-05-08,true,Entertainment,"2,022",Didier Raoult répond à toutes les questions des chroniqueurs dans TPMP !,https://www.youtube.com/watch?v=T7UkIu0SH20,491900,"['https://www.youtube.com/watch?v=cnsKNvDplFo', 'https://www.youtube.com/watch?v=c80ELzCNmec', 'https://www.youtube.com/watch?v=db2rhB49IGo']",3,Touche pas à mon poste !,1.98M subscribers
2022-05-20,true,Science & Technology,Comments are turned off. ,Les Divas de la science,https://www.youtube.com/watch?v=n6INZgNijvA,321726,"['https://www.youtube.com/watch?v=_TCm_9KKOwU', 'https://www.youtube.com/watch?v=jsCL6pb6phM', 'https://www.youtube.com/watch?v=c80ELzCNmec']",3,IHU Méditerranée-Infection,629K subscribers
2022-05-10,true,Nonprofits & Activism,"1,418","Pour une révolution politique, poétique et philosophique avec l'astrophysicien Aurélien Barrau",https://www.youtube.com/watch?v=94IxSYo5wtM,422213,"['https://www.youtube.com/watch?v=J-DVS5az6jg', 'https://www.youtube.com/watch?v=AlG5L_5hQv4', 'https://www.youtube.com/watch?v=l8g0YHIMRhA']",3,France Inter,839K subscribers
2022-05-17,true,Science & Technology,105,Bitcoin (BTC) : Imaginons le scénario technique du pire - L'analyse de Vincent Ganne,https://www.youtube.com/watch?v=SMlrFOcYc40,27861,"['https://www.youtube.com/watch?v=SPPvxx5_U5w', 'https://www.youtube.com/watch?v=0stmtkXszKo', 'https://www.youtube.com/watch?v=WoQrqKx_4us']",3,Cryptoast,125K subscribers
2022-05-15,true,Science & Technology,32,Épargner passivement du bitcoin chaque mois ? Découverte de Bitstack,https://www.youtube.com/watch?v=5TJwOCY9UyA,8148,"['https://www.youtube.com/watch?v=dojj2_xAQaw', 'https://www.youtube.com/watch?v=CYLOhmoHM6I', 'https://www.youtube.com/watch?v=osWe0turVCU']",3,Cryptoast,125K subscribers
2022-05-21,true,Entertainment,"1,601","""Cette guerre qui vient"" avec Xavier MOREAU de STRATPOL.",https://www.youtube.com/watch?v=v3twwFDn0qg,228081,"['https://www.youtube.com/watch?v=4ZfgLc1_a0c', 'https://www.youtube.com/watch?v=za8jzdao20Y', 'https://www.youtube.com/watch?v=Lo7tUSRpJ1Y']",3,LE PEUPLE DE FRANCE - TV,10.6K subscribers
2016-02-25,true,Education,235,Les bases de l'Analyse Technique,https://www.youtube.com/watch?v=pf2ZvjluZ5Q,324913,"['https://www.youtube.com/watch?v=e-w2VZ04H1Y', 'https://www.youtube.com/watch?v=U4nifWwM4UM', 'https://www.youtube.com/watch?v=47sAzxSTAPE']",3,Trading Central,13.3K subscribers
2020-10-17,true,Education,"2,998",A 50 year-old enigma solved: the Conway knot is not slice - Micmaths,https://www.youtube.com/watch?v=gz-MN3s-jcQ,1295228,"['https://www.youtube.com/watch?v=9Hpy6MKM-J8', 'https://www.youtube.com/watch?v=spE5_QW2nh8', 'https://www.youtube.com/watch?v=S-W0NX97DB0']",3,Mickaël Launay,560K subscribers
2021-12-22,true,News & Politics,12,Erreur d'encodage,https://www.youtube.com/watch?v=mUqS4Zyu1PY,2232,"['https://www.youtube.com/watch?v=m5ep6JiGPz8', 'https://www.youtube.com/watch?v=Gj8xhEETxx0', 'https://www.youtube.com/watch?v=HjXGqrhkKQU']",3,Cryptanalyst - Analyses crypto FR,35.2K subscribers
2022-05-19,true,Science & Technology,25,L' effondrement du stablecoin qui fait trembler l'industrie crypto – Les Contes de Monte-Crypto,https://www.youtube.com/watch?v=0stmtkXszKo,6864,"['https://www.youtube.com/watch?v=SMlrFOcYc40', 'https://www.youtube.com/watch?v=5sv9PANQc9Q', 'https://www.youtube.com/watch?v=v3twwFDn0qg']",3,Cryptoast,125K subscribers
2016-06-24,true,Science & Technology,"1,259",Le Bitcoin et la Blockchain (avec Heu?Reka),https://www.youtube.com/watch?v=du34gPopY5Y,764285,"['https://www.youtube.com/watch?v=CYLOhmoHM6I', 'https://www.youtube.com/watch?v=trWrEWfhTVg', 'https://www.youtube.com/watch?v=SccvFbyDaUI']",3,ScienceEtonnante,1.22M subscribers
2016-02-17,true,News & Politics,759,Bill Gates,https://www.youtube.com/watch?v=r8AsQ9TVKuA,1026992,"['https://www.youtube.com/watch?v=h54ur08dhxU', 'https://www.youtube.com/watch?v=G5GulMLTiMg', 'https://www.youtube.com/watch?v=mqsgMjw0GtI']",3,imineo Documentaires,1.24M subscribers
2022-05-25,true,Education,122,Erreur d'encodage,https://www.youtube.com/watch?v=5sl5Ov7sxZc,7880,"['https://www.youtube.com/watch?v=qv1tuSWvM-w', 'https://www.youtube.com/watch?v=xqGfTuhSWFw', 'https://www.youtube.com/watch?v=76u0BBxNcxQ']",4,Les Rois du Bitcoin,19.9K subscribers
2022-05-26,true,Comedy,420,"Sylvain, le serial killer - Les duos impossibles 8ème édition",https://www.youtube.com/watch?v=FR6jXT_S0VA,328517,"['https://www.youtube.com/watch?v=SoZIb_PO-CM', 'https://www.youtube.com/watch?v=NolCzzRODTQ', 'https://www.youtube.com/watch?v=1qDRiNFbfg0']",4,Les Duos Impossibles de Jérémy Ferrari,197K subscribers
