Date,FamilyFriendly,Genre,Commentaires,Titre,URL,Vues,Suivant,Chaine,Abonnes,Id
2022-06-02,true,News & Politics,303,« Faux frais » et « argent liquide » : de nouveaux éléments mettent en cause le député de la Lozère,https://www.youtube.com/watch?v=XA5-IebCoiA,114031,"['https://www.youtube.com/watch?v=oCrHtasllZI', 'https://www.youtube.com/watch?v=c_4Ey8T_jeE', 'https://www.youtube.com/watch?v=H2UzktwofJI']",Mediapart,-1,https://www.youtube.com/watch?v=XA5-IebCoiA
2022-06-02,true,News & Politics,202,Erreur d'encodage,https://www.youtube.com/watch?v=Gwougz56s-s,46041,"['https://www.youtube.com/watch?v=LZb-A-9QpDo', 'https://www.youtube.com/watch?v=T7NL_y2khHk', 'https://www.youtube.com/watch?v=FqURJqEk9Us']",franceinfo,-1,https://www.youtube.com/watch?v=Gwougz56s-s
2022-06-01,true,News & Politics,730,"<span dir=""auto"" class=""style-scope yt-formatted-string"">Meeting de la Nouvelle Union Populaire Écologique et Sociale à Paris - </span><a class=""yt-simple-endpoint style-scope yt-formatted-string"" spellcheck=""false"" href=""/hashtag/nupesparis"" dir=""auto"">#NupesParis</a>",https://www.youtube.com/watch?v=97HEOMSHl_I,129959,"['https://www.youtube.com/watch?v=b2c7zbKoows', 'https://www.youtube.com/watch?v=c_4Ey8T_jeE', 'https://www.youtube.com/watch?v=CWR8J3-LYmw']",JEAN-LUC MÉLENCHON,-1,https://www.youtube.com/watch?v=97HEOMSHl_I
2022-06-03,true,News & Politics,-1,Macron veut détruire notre système scolaire,https://www.youtube.com/watch?v=b2c7zbKoows,79062,"['https://www.youtube.com/watch?v=97HEOMSHl_I', 'https://www.youtube.com/watch?v=Gwougz56s-s', 'https://www.youtube.com/watch?v=FMYcAUb_JNE']",JEAN-LUC MÉLENCHON,-1,https://www.youtube.com/watch?v=b2c7zbKoows
2022-06-01,true,News & Politics,104,"<span dir=""auto"" class=""style-scope yt-formatted-string"">Meeting de la Nouvelle Union Populaire Écologique et Sociale à Paris - </span><a class=""yt-simple-endpoint style-scope yt-formatted-string"" spellcheck=""false"" href=""/hashtag/nupesparis"" dir=""auto"">#NupesParis</a>",https://www.youtube.com/watch?v=vuLKvamKfhY,15035,"['https://www.youtube.com/watch?v=w4v9CRueEf8', 'https://www.youtube.com/watch?v=97HEOMSHl_I', 'https://www.youtube.com/watch?v=Go9fHwIEgag']",La France insoumise,-1,https://www.youtube.com/watch?v=vuLKvamKfhY
2022-05-09,true,News & Politics,-1,"Une ancienne députée En Marche balance tout : ""Macron est un algorithme !""",https://www.youtube.com/watch?v=kmVU0jOiOo8,1073181,"['https://www.youtube.com/watch?v=xQjppHg7hGc', 'https://www.youtube.com/watch?v=c_4Ey8T_jeE', 'https://www.youtube.com/watch?v=X5yRIPifHdQ']",Sud Radio,-1,https://www.youtube.com/watch?v=kmVU0jOiOo8
2022-06-03,true,News & Politics,268,"Massacre d'Oradour-sur-Glane : ""On pensait que la 2nd Guerre Mondiale était finie"" - R Hébras",https://www.youtube.com/watch?v=GESBkTA2Faw,9805,"['https://www.youtube.com/watch?v=Auw_J4BZ-ns', 'https://www.youtube.com/watch?v=c_4Ey8T_jeE', 'https://www.youtube.com/watch?v=c7EbjIvfcgA']",Sud Radio,-1,https://www.youtube.com/watch?v=GESBkTA2Faw
2022-06-03,true,News & Politics,-1,Macron veut détruire notre système scolaire,https://www.youtube.com/watch?v=b2c7zbKoows,79062,"['https://www.youtube.com/watch?v=97HEOMSHl_I', 'https://www.youtube.com/watch?v=FMYcAUb_JNE', 'https://www.youtube.com/watch?v=XA5-IebCoiA']",JEAN-LUC MÉLENCHON,-1,https://www.youtube.com/watch?v=b2c7zbKoows
2019-11-25,true,Education,0,La bande dessinée entre la presse et le livre (1/2) - De Töpffer à Bécassine,https://www.youtube.com/watch?v=i6RIXphF96Y,404,"['https://www.youtube.com/watch?v=j1ONgQzVdbc', 'https://www.youtube.com/watch?v=4kwdK5cOsXg', 'https://www.youtube.com/watch?v=nyKX1DUS71M']",Bibliothèque nationale de France BnF,-1,https://www.youtube.com/watch?v=i6RIXphF96Y
2012-04-06,true,Nonprofits & Activism,5,La valeur et le prix des oeuvres d'art,https://www.youtube.com/watch?v=gyIYOLU4goY,9613,"['https://www.youtube.com/watch?v=4pyhJJ_7OvY', 'https://www.youtube.com/watch?v=PHX3QgCNsus', 'https://www.youtube.com/watch?v=db2rhB49IGo']",KTOTV,-1,https://www.youtube.com/watch?v=gyIYOLU4goY
